host_id,host_name,host_since_year,host_since_anniversary,host_since_ann_cleaned,host_since_month,host_since_day,host_since_month_cleaned,host_since_day_cleaned,host_since_date,host_account_age,id,neighborhood,neighborhood_cleaned,city,city_cleaned,state,state_cleaned,zipcode,country,latitude,longitude,location,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,price,guests_included,extra_people,minimum_nights,host_response_time,host_response_rate,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value
1817958,Nadia,2012,POINT(27.0 2.0),27.0 2.0,2.0,27.0,2,27,2/27/2012,6.99,1189966,Oostelijk Havengebied - Indische Buurt,Docklands - Indian Neighborhood,Amsterdam,Amsterdam,North Holland,North Holland,1094 XT,Netherlands,52.36200452,4.934578168,POINT(4.934578168 52.36200452),Apartment,Entire home/apt,4,1,2,2,Real Bed,65,2,20,3,within a few hours,1,1,100,10,8,10,10,10,8
1818342,Linda,2012,POINT(27.0 2.0),27.0 2.0,2.0,27.0,2,27,2/27/2012,6.99,359408,Centrum-West,Center-West,Amsterdam,Amsterdam,North Holland,North Holland,1016,Netherlands,52.36630062,4.880362689,POINT(4.880362689 52.36630062),Apartment,Entire home/apt,2,1,1,1,Real Bed,109,1,0,3,within an hour,1,39,94,9,9,10,10,9,9
1824421,Benedetta,2012,POINT(28.0 2.0),28.0 2.0,2.0,28.0,2,28,2/28/2012,6.99,4716064,Oud-Oost,Former East,Amsterdam,Amsterdam,Noord-Holland,North Holland,1092,Netherlands,52.35641433,4.926516347,POINT(4.926516347 52.35641433),Apartment,Entire home/apt,3,1,1,2,Real Bed,115,2,30,2,within a few hours,0.92,4,80,9,10,10,8,10,9
1826139,Esther & Jan,2012,POINT(28.0 2.0),28.0 2.0,2.0,28.0,2,28,2/28/2012,6.99,510836,Centrum-West,Center-West,Amsterdam,Amsterdam,North Holland,North Holland,1013,Netherlands,52.3809786,4.89241358,POINT(4.89241358 52.3809786),Apartment,Entire home/apt,15,3.5,5,10,Real Bed,500,8,40,2,within an hour,1,54,97,10,10,9,10,10,9
1826139,Esther & Jan,2012,POINT(28.0 2.0),28.0 2.0,2.0,28.0,2,28,2/28/2012,6.99,422044,Centrum-West,Center-West,Amsterdam,Amsterdam,North Holland,North Holland,1013,Netherlands,52.3784217,4.89536156,POINT(4.89536156 52.3784217),Apartment,Entire home/apt,8,2,3,6,Real Bed,275,4,40,2,within an hour,1,76,97,10,10,10,10,10,9
1826139,Esther & Jan,2012,POINT(28.0 2.0),28.0 2.0,2.0,28.0,2,28,2/28/2012,6.99,361342,Centrum-West,Center-West,Amsterdam,Amsterdam,North Holland,North Holland,1013,Netherlands,52.38007376,4.89312817,POINT(4.89312817 52.38007376),Apartment,Entire home/apt,6,1.5,2,4,Real Bed,225,4,35,2,within an hour,1,46,99,10,10,10,10,10,9
187580,Monique,2010,POINT(1.0 8.0),1.0 8.0,8.0,1.0,8,1,8/1/2010,8.57,568110,Centrum-West,Center-West,Amsterdam,Amsterdam,North Holland,North Holland,1012,Netherlands,52.36786098,4.887054786,POINT(4.887054786 52.36786098),Apartment,Entire home/apt,2,1,1,1,Real Bed,195,1,0,4,within an hour,1,13,94,9,10,9,10,10,9
1827408,Chris,2012,POINT(28.0 2.0),28.0 2.0,2.0,28.0,2,28,2/28/2012,6.99,1325394,Slotervaart,Slotervaart,Amsterdam,Amsterdam,North Holland,North Holland,1058 LZ,Netherlands,52.35469081,4.843313827,POINT(4.843313827 52.35469081),House,Entire home/apt,3,1.5,1,2,Real Bed,95,2,25,5,N/A,1,18,96,10,10,10,10,9,10
1827408,Chris,2012,POINT(28.0 2.0),28.0 2.0,2.0,28.0,2,28,2/28/2012,6.99,4215376,Slotervaart,Slotervaart,Amsterdam,Amsterdam,North Holland,North Holland,1058 LZ,Netherlands,52.3542046,4.843012016,POINT(4.843012016 52.3542046),House,Private room,2,1.5,1,1,Real Bed,50,1,20,5,within a day,1,1,100,10,10,10,10,10,10
1829492,Fred & Wietske,2012,POINT(29.0 2.0),29.0 2.0,2.0,29.0,2,29,2/29/2012,6.99,1034129,De Pijp - Rivierenbuurt,Pipe - Rivierenbuurt,Amsterdam,Amsterdam,North Holland,North Holland,1072 NL,Netherlands,52.35262277,4.886566979,POINT(4.886566979 52.35262277),Apartment,Entire home/apt,6,1,2,4,Real Bed,240,4,40,3,within a few hours,0.96,13,91,8,9,10,9,9,9
1829492,Fred & Wietske,2012,POINT(29.0 2.0),29.0 2.0,2.0,29.0,2,29,2/29/2012,6.99,5387855,De Baarsjes - Oud-West,The Baarsjes - Old West,Amsterdam,Amsterdam,Noord-Holland,North Holland,1054 ZH,Netherlands,52.36631004,4.873678501,POINT(4.873678501 52.36631004),House,Entire home/apt,5,2.5,3,3,Real Bed,220,2,50,5,within a few hours,0.96,0,95,10,10,10,10,9,9
1829492,Fred & Wietske,2012,POINT(29.0 2.0),29.0 2.0,2.0,29.0,2,29,2/29/2012,6.99,5755553,Zuid,South,Amsterdam,Amsterdam,Noord-Holland,North Holland,1071,Netherlands,52.35232162,4.878168795,POINT(4.878168795 52.35232162),House,Entire home/apt,4,1,2,2,Real Bed,280,1,0,4,within a few hours,0.96,0,95,10,10,10,10,9,9
1829492,Fred & Wietske,2012,POINT(29.0 2.0),29.0 2.0,2.0,29.0,2,29,2/29/2012,6.99,439082,De Pijp - Rivierenbuurt,Pipe - Rivierenbuurt,Amsterdam,Amsterdam,North Holland,North Holland,1072,Netherlands,52.35643597,4.887203575,POINT(4.887203575 52.35643597),Apartment,Entire home/apt,4,1,2,2,Real Bed,165,2,45,4,within a few hours,0.96,63,99,10,10,10,10,10,10
1829492,Fred & Wietske,2012,POINT(29.0 2.0),29.0 2.0,2.0,29.0,2,29,2/29/2012,6.99,1341241,Zuid,South,Amsterdam,Amsterdam,North Holland,North Holland,1076 CJ,Netherlands,52.34411623,4.857856379,POINT(4.857856379 52.34411623),Apartment,Entire home/apt,4,1,2,2,Real Bed,145,2,50,3,within a few hours,0.96,2,91,8,10,9,9,10,9
1829492,Fred & Wietske,2012,POINT(29.0 2.0),29.0 2.0,2.0,29.0,2,29,2/29/2012,6.99,1703361,Centrum-West,Center-West,Amsterdam,Amsterdam,North Holland,North Holland,1017 NB,Netherlands,52.36570816,4.883560284,POINT(4.883560284 52.36570816),Apartment,Entire home/apt,4,1,2,2,Real Bed,165,2,40,3,within a few hours,0.96,12,90,9,9,9,10,10,8
1829492,Fred & Wietske,2012,POINT(29.0 2.0),29.0 2.0,2.0,29.0,2,29,2/29/2012,6.99,616730,De Pijp - Rivierenbuurt,Pipe - Rivierenbuurt,Amsterdam,Amsterdam,North Holland,North Holland,1072,Netherlands,52.35612244,4.887478101,POINT(4.887478101 52.35612244),Apartment,Entire home/apt,4,1,2,2,Real Bed,150,2,40,5,within a few hours,0.96,14,91,10,9,9,10,10,9
1829492,Fred & Wietske,2012,POINT(29.0 2.0),29.0 2.0,2.0,29.0,2,29,2/29/2012,6.99,834588,De Baarsjes - Oud-West,The Baarsjes - Old West,Amsterdam,Amsterdam,North Holland,North Holland,1054,Netherlands,52.35946977,4.860273988,POINT(4.860273988 52.35946977),Apartment,Entire home/apt,4,1,1,1,Real Bed,180,2,35,10,within a few hours,0.96,26,95,10,9,9,10,9,9
187728,Tanya,2010,POINT(1.0 8.0),1.0 8.0,8.0,1.0,8,1,8/1/2010,8.57,634772,Centrum-West,Center-West,Amsterdam,Amsterdam,Noord-Holland,North Holland,1015,Netherlands,52.38122515,4.883545849,POINT(4.883545849 52.38122515),House,Entire home/apt,4,1.5,1,1,Real Bed,170,2,25,2,within a few hours,0.95,1,100,10,10,10,10,10,10
1829492,Fred & Wietske,2012,POINT(29.0 2.0),29.0 2.0,2.0,29.0,2,29,2/29/2012,6.99,3699518,Centrum-Oost,Center-East,Amsterdam,Amsterdam,North Holland,North Holland,1011 TZ,Netherlands,52.37207298,4.908160885,POINT(4.908160885 52.37207298),Apartment,Entire home/apt,3,1.5,2,2,Real Bed,130,2,35,5,within a few hours,0.96,1,100,10,10,10,10,10,10
1829492,Fred & Wietske,2012,POINT(29.0 2.0),29.0 2.0,2.0,29.0,2,29,2/29/2012,6.99,2449350,Centrum-Oost,Center-East,Amsterdam,Amsterdam,North Holland,North Holland,unknown,Netherlands,52.36238038,4.915081863,POINT(4.915081863 52.36238038),Apartment,Entire home/apt,3,1.5,2,2,Real Bed,150,2,50,4,within a few hours,0.96,9,91,8,8,8,9,10,8
1829492,Fred & Wietske,2012,POINT(29.0 2.0),29.0 2.0,2.0,29.0,2,29,2/29/2012,6.99,1635071,De Pijp - Rivierenbuurt,Pipe - Rivierenbuurt,Amsterdam,Amsterdam,North Holland,North Holland,1072 XM,Netherlands,52.35759346,4.888442972,POINT(4.888442972 52.35759346),Apartment,Entire home/apt,3,1,1,2,Real Bed,135,2,45,6,within a few hours,0.96,6,96,10,10,10,10,10,9
1829492,Fred & Wietske,2012,POINT(29.0 2.0),29.0 2.0,2.0,29.0,2,29,2/29/2012,6.99,2049891,Centrum-Oost,Center-East,Amsterdam,Amsterdam,North Holland,North Holland,1011,Netherlands,52.37145046,4.908415361,POINT(4.908415361 52.37145046),Apartment,Entire home/apt,3,1,1,1,Real Bed,140,2,35,5,within a few hours,0.96,3,99,9,10,10,10,10,10
1829492,Fred & Wietske,2012,POINT(29.0 2.0),29.0 2.0,2.0,29.0,2,29,2/29/2012,6.99,1957586,De Pijp - Rivierenbuurt,Pipe - Rivierenbuurt,Amsterdam,Amsterdam,North Holland,North Holland,1073,Netherlands,52.35453047,4.900646135,POINT(4.900646135 52.35453047),Apartment,Entire home/apt,3,1.5,1,2,Real Bed,130,2,40,3,within a few hours,0.96,9,89,9,9,8,9,9,8
