host_id,host_kpi,host_name,host_since_year,host_since_anniversary,host_since_ann_cleaned,host_since_month,host_since_day,host_since_month_cleaned,host_since_day_cleaned,host_since_date,host_account_age,id,neighborhood,neighborhood_cleaned,city,neighborhood_kpi,city_cleaned,state,state_cleaned,zipcode,country,latitude,longitude,location,property_type,room_type,accommodates,bathrooms,bedrooms,bedrooms_kpi,beds,bed_type,price,guests_included,extra_people,minimum_nights,host_response_time,host_response_rate,number_of_reviews,number_of_reviews_kpi,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,apx_number_of_stays,est_daily_revenue_include0,est_daily_revenue_include1,est_daily_revenue_include>1,est_daily_revenue,est_revenue_per_booking,est_total_revenue,est_yearly_revenue
1811745,Low,Marre,2012,POINT(26.0 2.0),26.0 2.0,2.0,26.0,2,26,2/26/2012,7.00,357980,De Baarsjes - Oud-West,The Baarsjes - Old West,Amsterdam,Top 5,Amsterdam,North Holland,North Holland,1054 CM,Netherlands,52.36545162,4.875296385,POINT(4.875296385 52.36545162),House,Entire home/apt,6,1.5,3,3 or more,4,Real Bed,200,3,20,2,within a few hours,0.9,30,Low,96,9,9,10,10,10,9,60,,,200,200,400,24000,3429.58
1811745,Low,Marre,2012,POINT(26.0 2.0),26.0 2.0,2.0,26.0,2,26,2/26/2012,7.00,2394147,Centrum-West,Center-West,Amsterdam,Top 5,Amsterdam,North Holland,North Holland,1015 DC,Netherlands,52.37881654,4.888707774,POINT(4.888707774 52.37881654),Apartment,Entire home/apt,2,1,1,1,1,Real Bed,135,2,0,2,within a few hours,0.9,15,Low,99,10,10,10,10,10,10,30,,,135,135,270,8100,1157.48
1812619,Low,Masja,2012,POINT(26.0 2.0),26.0 2.0,2.0,26.0,2,26,2/26/2012,7.00,358155,Centrum-Oost,Center-East,Amsterdam,Top 5,Amsterdam,North Holland,North Holland,1017,Netherlands,52.36311174,4.897870175,POINT(4.897870175 52.36311174),Apartment,Entire home/apt,6,1,2,2,2,Real Bed,119,2,50,1,within a few hours,1,92,Medium,93,9,9,10,10,10,9,184,,,119,119,119,21896,3128.92
1813748,Low,Marlien,2012,POINT(26.0 2.0),26.0 2.0,2.0,26.0,2,26,2/26/2012,7.00,555382,De Pijp - Rivierenbuurt,Pipe - Rivierenbuurt,Amsterdam,Top 5,Amsterdam,North Holland,North Holland,1073,Netherlands,52.35607278,4.893418791,POINT(4.893418791 52.35607278),Apartment,Entire home/apt,2,1,1,1,1,Real Bed,75,1,0,5,N/A,1,6,Low,97,10,10,10,10,10,10,12,,75,,75,375,4500,643.05
187580,Low,Monique,2010,POINT(1.0 8.0),1.0 8.0,8.0,1.0,8,1,8/1/2010,8.57,253650,Centrum-West,Center-West,Amsterdam,Top 5,Amsterdam,North Holland,North Holland,1012 VS,Netherlands,52.36775166,4.889815058,POINT(4.889815058 52.36775166),Bed & Breakfast,Entire home/apt,2,1,1,1,1,Real Bed,139,1,0,2,within an hour,1,120,High,97,10,10,10,10,10,9,240,,139,,139,278,66720,7784.71
1814038,Low,Alan,2012,POINT(26.0 2.0),26.0 2.0,2.0,26.0,2,26,2/26/2012,7.00,447138,De Baarsjes - Oud-West,The Baarsjes - Old West,Amsterdam,Top 5,Amsterdam,North Holland,North Holland,1054,Netherlands,52.3629831,4.862950219,POINT(4.862950219 52.3629831),Apartment,Entire home/apt,4,1.5,2,2,2,Real Bed,150,1,0,5,within a few hours,1,9,Low,97,9,9,10,10,10,9,18,,150,,150,750,13500,1929.14
1814252,Low,Ing,2012,POINT(26.0 2.0),26.0 2.0,2.0,26.0,2,26,2/26/2012,7.00,682461,Oud-Oost,Former East,Amsterdam,Low,Amsterdam,North Holland,North Holland,unknown,Netherlands,52.35707454,4.90625725,POINT(4.90625725 52.35707454),Apartment,Entire home/apt,2,1,2,2,3,Real Bed,120,4,0,3,within a few hours,1,21,Low,99,10,10,10,10,10,9,42,,,120,120,360,15120,2160.63
1817606,Low,Laura,2012,POINT(27.0 2.0),27.0 2.0,2.0,27.0,2,27,2/27/2012,7.00,352886,Westerpark,Westerpark,Amsterdam,Top 5,Amsterdam,North Holland,North Holland,unknown,Netherlands,52.37551345,4.87468552,POINT(4.87468552 52.37551345),Apartment,Entire home/apt,4,1,2,2,2,Real Bed,140,2,35,3,within a few hours,1,6,Low,100,9,10,10,10,9,10,12,,,140,140,420,5040,720.49
1817922,Low,Olly & Josh,2012,POINT(27.0 2.0),27.0 2.0,2.0,27.0,2,27,2/27/2012,7.00,359298,Centrum-Oost,Center-East,Amsterdam,Top 5,Amsterdam,North Holland,North Holland,1018 WD,Netherlands,52.3628738,4.910151985,POINT(4.910151985 52.3628738),Apartment,Entire home/apt,3,1,2,2,2,Real Bed,80,2,40,2,within an hour,1,76,Medium,90,9,8,9,9,9,9,152,,,80,80,160,24320,3476.67
1817958,Low,Nadia,2012,POINT(27.0 2.0),27.0 2.0,2.0,27.0,2,27,2/27/2012,7.00,1189966,Oostelijk Havengebied - Indische Buurt,Docklands - Indian Neighborhood,Amsterdam,Low,Amsterdam,North Holland,North Holland,1094 XT,Netherlands,52.36200452,4.934578168,POINT(4.934578168 52.36200452),Apartment,Entire home/apt,4,1,2,2,2,Real Bed,65,2,20,3,within a few hours,1,1,Low,100,10,8,10,10,10,8,2,,,65,65,195,390,55.75
1818342,Low,Linda,2012,POINT(27.0 2.0),27.0 2.0,2.0,27.0,2,27,2/27/2012,7.00,359408,Centrum-West,Center-West,Amsterdam,Top 5,Amsterdam,North Holland,North Holland,1016,Netherlands,52.36630062,4.880362689,POINT(4.880362689 52.36630062),Apartment,Entire home/apt,2,1,1,1,1,Real Bed,109,1,0,3,within an hour,1,39,Low,94,9,9,10,10,9,9,78,,109,,109,327,25506,3646.21
1824421,Low,Benedetta,2012,POINT(28.0 2.0),28.0 2.0,2.0,28.0,2,28,2/28/2012,6.99,4716064,Oud-Oost,Former East,Amsterdam,Low,Amsterdam,Noord-Holland,North Holland,1092,Netherlands,52.35641433,4.926516347,POINT(4.926516347 52.35641433),Apartment,Entire home/apt,3,1,1,1,2,Real Bed,115,2,30,2,within a few hours,0.92,4,Low,80,9,10,10,8,10,9,8,,,115,115,230,1840,263.14
